01.31-7,Cultivo de frutas cítricas
01.32-5,Cultivo de café
01.33-3,Cultivo de cacau
01.34-1,Cultivo de uva
01.39-2,Cultivo de outros produtos de lavoura permanente
01.41-4	Criação de bovinos
01.42-2	Criação de outros animais de grande porte
01.43-0	Criação de ovinos
01.44-9	Criação de suínos
01.45-7	Criação de aves
01.46-5	Criação de outros animais
01.50-3	Produção mista: lavoura e pecuária
01.61-9	Atividades de serviços relacionados com a agricultura
01.62-7	Atividades de serviços relacionados com a pecuária, exceto atividades veterinárias
01.70-8	Caça, repovoamento cinegético e atividades dos serviços relacionados
02.11-9	Silvicultura
02.12-7	Exploração florestal
02.13-5	Atividades dos serviços relacionados com a silvicultura e a exploração florestal
05.11-8	Pesca e serviços relacionados
05.12-6	Aqüicultura e serviços relacionados
10.00-6	Extração de carvão mineral
11.10-0	Extração de petróleo e gás natura
11.20-7	Serviços relacionados com a extração de petróleo e gás - exceto a prospecção realizada por terceiros
13.10-2	Extração de minério de ferro
13.21-8	Extração de minério de alumínio
13.22-6	Extração de minério de estanho
13.23-4	Extração de minério de manganês
13.24-2	Extração de minério de metais preciosos
13.25-0	Extração de minerais radioativos
13.29-3	Extração de outros minerais metálicos não-ferrosos
14.10-9	Extração de pedra, areia e argila
14.21-4	Extração de minerais para fabricação de adubos, fertilizantes e produtos químicos
14.22-2	Extração e refino de sal marinho e sal-gema
14.29-0	Extração de outros minerais não-metálicos
15.11-3	Abate de reses, preparação de produtos de carne
15.12-1	Abate de aves e outros pequenos animais e preparação de produtos de carne
15.13-0	Preparação de carne, banha e produtos de salsicharia não associadas ao abate
15.14-8	Preparação e preservação do pescado e fabricação de conservas de peixes, crustáceos e moluscos
15.21-0	Processamento, preservação e produção de conservas de frutas
15.22-9	Processamento, preservação e produção de conservas de legumes e outros vegetais
15.23-7	Produção de sucos de frutas e de legumes
15.31-8	Produção de óleos vegetais em bruto
15.32-6	Refino de óleos vegetais
15.33-4	Preparação de margarina e outras gorduras vegetais e de óleos de origem animal não comestíveis
15.41-5	Preparação do leite
15.42-3	Fabricação de produtos do laticínio
15.43-1	Fabricação de sorvetes
15.51-2	Beneficiamento de arroz e fabricação de produtos do arroz
15.52-0	Moagem de trigo e fabricação de derivados
15.53-9	Fabricação de farinha de mandioca e derivados
15.54-7	Fabricação de fubá e farinha de milho
15.55-5	Fabricação de amidos e féculas   de vegetais e fabricação de óleos de milho
15.56-3	Fabricação de rações balanceadas para animais
15.59-8	Beneficiamento, moagem  e preparação de outros produtos de origem vegetal
15.61-0	Usinas de açúcar
15.62-8	Refino e moagem de açúcar
